Country name,Ladder score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,% gdp,% social support,% life expectancy,% freedom,% genorisity,% CORRUPTION,% residual,,,,
Laos,5.030,0.808,0.598,0.330,0.643,0.268,0.179,2.204,16.059,11.886,6.568,12.780,5.334,3.565,43.809,,,,
Bangladesh,5.025,0.635,0.520,0.514,0.603,0.161,0.164,2.427,12.647,10.348,10.231,11.994,3.204,3.270,48.305,,,,
Guinea,4.984,0.420,0.399,0.206,0.384,0.250,0.111,3.216,8.428,7.995,4.126,7.702,5.010,2.217,64.521,,,,
South Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051,2.187,19.506,18.049,5.354,9.026,2.911,1.026,44.128,,,,
Turkey,4.948,1.260,0.809,0.590,0.236,0.097,0.104,1.852,25.458,16.355,11.917,4.773,1.960,2.111,37.426,,,,
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.097,2.784,12.908,8.583,6.531,8.480,5.100,1.969,56.429,,,,
Morocco,4.918,0.792,0.219,0.558,0.477,0.034,0.088,2.749,16.108,4.462,11.354,9.694,0.696,1.788,55.898,,,,
Venezuela,4.892,0.852,0.897,0.574,0.284,0.078,0.072,2.135,17.409,18.343,11.731,5.811,1.592,1.469,43.645,,,,
Georgia,4.891,1.030,0.470,0.498,0.488,0.032,0.181,2.191,21.065,9.604,10.188,9.972,0.663,3.707,44.800,,,,
Algeria,4.887,0.946,0.765,0.552,0.119,0.144,0.120,2.242,19.352,15.644,11.295,2.439,2.952,2.446,45.871,,,,
Ukraine,4.875,0.979,0.958,0.517,0.417,0.181,0.010,1.813,20.073,19.656,10.611,8.554,3.708,0.203,37.193,,,,
Iraq,4.854,0.910,0.638,0.381,0.302,0.153,0.041,2.429,18.747,13.139,7.854,6.217,3.159,0.843,50.039,,,,
Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064,2.201,21.370,14.571,7.454,8.748,1.187,1.311,45.357,,,,
Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182,0.122,3.133,7.537,9.772,3.696,7.875,3.772,2.525,64.822,,,,
Cambodia,4.830,0.603,0.680,0.426,0.702,0.210,0.061,2.148,12.477,14.085,8.817,14.531,4.350,1.266,44.475,,,,
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163,2.783,3.812,13.214,4.091,12.691,4.748,3.391,58.053,,,,
Nigeria,4.759,0.663,0.625,0.051,0.433,0.212,0.039,2.736,13.929,13.135,1.075,9.094,4.462,0.816,57.490,,,,
Mali,4.723,0.387,0.590,0.110,0.384,0.164,0.072,3.016,8.197,12.490,2.328,8.128,3.482,1.518,63.857,,,,
Iran,4.721,1.030,0.557,0.561,0.275,0.330,0.144,1.823,21.823,11.808,11.889,5.819,7.000,3.041,38.620,,,,
