,Life Ladder,Log GDP per capita
367,6.234,9.571
368,6.157,9.568999999999999
369,5.984,9.579
370,6.35,9.597999999999999
371,5.709,9.495
372,3.4760000000000004,7.952000000000001
373,3.812,7.965
374,3.838,7.981
375,3.9560000000000004,7.9879999999999995
376,3.9730000000000003,8.027999999999999
377,4.609,8.033
378,3.82,8.082
379,4.51,8.18
380,3.9189999999999996,8.192
381,3.955,8.201
382,4.056,8.242
383,4.691,8.243
384,4.119,8.19
385,4.8839999999999995,8.146
386,5.49,8.136000000000001
387,5.212999999999999,8.101
388,3.984,6.728
389,4.5169999999999995,6.797000000000001
390,4.638999999999999,6.832000000000001
391,4.497,6.88
392,4.414,6.937
393,3.903,6.971
394,4.522,6.962000000000001
395,4.311,6.966
396,7.082000000000001,9.565
397,7.432,9.63
398,6.851,9.662
399,7.615,9.639
400,7.271,9.675
401,7.229,9.705
402,7.272,9.74
403,7.1579999999999995,9.751
404,7.247000000000001,9.775
405,6.854,9.799
406,7.136,9.83
407,7.225,9.857999999999999
408,7.141,9.874
409,6.997999999999999,9.885
410,5.821000000000001,10.162
411,5.433,10.104
412,5.596,10.091000000000001
413,5.385,10.091000000000001
414,6.028,10.072000000000001
415,5.885,10.068999999999999
416,5.381,10.072000000000001
417,5.205,10.104
418,5.417000000000001,10.146
419,5.343,10.189
420,5.5360000000000005,10.224
421,5.626,10.258
422,6.507999999999999,10.166
424,6.2379999999999995,10.565999999999999
425,6.832999999999999,10.558
426,6.3870000000000005,10.550999999999998
427,6.69,10.53
428,6.181,10.479000000000001
429,5.439,10.414000000000001
430,5.627000000000001,10.405999999999999
431,5.439,10.445
432,5.795,10.505999999999998
433,6.062,10.539000000000001
434,6.276,10.567
435,6.1370000000000005,10.585
437,6.439,10.324000000000002
438,6.5,10.437000000000001
439,6.25,10.419
440,6.331,10.435
441,6.334,10.425999999999998
442,6.6979999999999995,10.42
443,6.484,10.446
444,6.608,10.495999999999999
445,6.736000000000001,10.517999999999999
446,6.79,10.558
447,7.034,10.583
448,6.897,10.53
449,8.019,10.850999999999999
450,7.834,10.890999999999998
451,7.971,10.88
452,7.683,10.824000000000002
453,7.771,10.839
454,7.787999999999999,10.847999999999999
455,7.52,10.845999999999998
456,7.5889999999999995,10.850999999999999
457,7.507999999999999,10.862
458,7.513999999999999,10.878
459,7.558,10.902999999999999
460,7.593999999999999,10.915999999999999
461,7.649,10.935
462,7.693,10.954
463,7.515,10.91
464,5.0089999999999995,8.111
465,4.906000000000001,7.9270000000000005
466,5.006,7.812
467,4.369,7.88
468,5.088,9.314
469,5.081,9.372
470,4.842,9.391
471,5.432,9.388
472,4.735,9.456
473,5.397,9.475
474,4.753,9.488999999999999
475,5.016,9.525
476,5.3870000000000005,9.582
477,5.062,9.637
478,5.239,9.691
479,5.605,9.725
480,5.433,9.782
481,6.004,9.821
482,5.167999999999999,9.802
483,5.024,9.186
484,4.996,9.191
485,5.297000000000001,9.236
486,6.022,9.225
487,5.837999999999999,9.244
488,5.795,9.304
489,5.961,9.344
490,6.019,9.377
491,5.946000000000001,9.399
492,5.9639999999999995,9.384
493,6.115,9.355
494,5.84,9.36
495,6.127999999999999,9.355
496,5.809,9.339
497,5.354,9.244
498,5.167999999999999,9.036
499,5.541,9.135
500,4.632,9.186
501,5.066,9.213
502,4.669,9.244
503,4.1739999999999995,9.24
504,4.204,9.24
505,3.5589999999999997,9.238999999999999
506,4.885,9.245
507,4.763,9.266
508,4.5569999999999995,9.287
509,3.929,9.307
510,4.005,9.338
511,4.328,9.373
512,4.4719999999999995,9.383
513,5.7010000000000005,8.873
514,5.296,8.887
515,5.191,8.908
516,6.8389999999999995,8.883
517,6.74,8.9
518,4.7410000000000005,8.933
519,5.934,8.956
520,6.325,8.974
521,5.857,8.986
522,6.018,9.005
523,6.14,9.025
524,6.3389999999999995,9.042
525,6.2410000000000005,9.061
526,6.455,9.08
527,5.462000000000001,9.019
528,5.371,10.27
529,5.332000000000001,10.347000000000001
530,5.452000000000001,10.298
531,5.138,10.144
532,5.487,10.248
533,5.364,10.282
534,5.367000000000001,10.299000000000001
535,5.556,10.331
536,5.629,10.347999999999999
537,5.65,10.374
538,5.938,10.429
539,6.091,10.472000000000001
540,6.035,10.511
541,6.452999999999999,10.459000000000001
542,4.561,7.271
543,4.445,7.343
544,4.507,7.412999999999999
545,4.573,7.484
546,4.298,7.547000000000001
547,4.18,7.612
